IMPULSE,MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,Spec_Flat,Spec_Band,Spec_Cent
GUN,-14374.1748046875,6637.59130859375,-2440.36279296875,2226.117919921875,1043.2978515625,801.2476806640625,448.2843017578125,-104.25556182861328,-749.3551025390625,-257.9447021484375,0.18152430653572083,83219.86460623464,75341.34313618502
GUN,-17086.890625,7733.3271484375,-1453.7679443359375,2137.389404296875,1358.2210693359375,1349.261962890625,739.1516723632812,67.91875457763672,-558.90869140625,-592.9585571289062,0.04258526023477316,71845.00006946165,49680.50594607759
GUN,-14084.04296875,5918.3623046875,-3872.030517578125,2670.42724609375,1251.2783203125,1263.4342041015625,716.2155151367188,672.6162719726562,-332.4528503417969,428.8658752441406,0.2918129228055477,77992.37729824473,89756.00743460232
GUN,-19679.6875,6918.90380859375,-1958.2027587890625,2163.296142578125,1933.1044921875,1253.912841796875,539.1602783203125,376.1159973144531,-339.7900085449219,-276.9435119628906,0.1101154275238514,76557.1795322638,58852.0425404894
GUN,-17755.5,8539.767578125,-1986.55712890625,838.8614501953125,644.955810546875,1006.300048828125,902.5606689453125,280.06500244140625,-589.9833374023438,-247.37655639648438,0.05356076639145613,69776.97443218676,53979.936024430914
GUN,-23670.84375,6388.8681640625,-670.6812744140625,1179.32421875,1636.72509765625,915.5700073242188,587.6281127929688,477.8903503417969,-83.22650909423828,131.7146759033203,0.24394268169999123,102978.11238477401,71695.36914257352
GUN,-24176.9140625,6157.23583984375,-664.7490844726562,1095.1060791015625,1765.4998779296875,859.1814575195312,575.7149658203125,453.1541442871094,-316.16900634765625,64.65673065185547,0.3601813316345215,107772.72007318454,76950.49989689823
GUN,-23955.3203125,6018.39697265625,-989.1839599609375,1088.8134765625,1639.240966796875,741.122802734375,286.18353271484375,251.59555053710938,-233.501220703125,57.89836883544922,0.5553703382611275,108054.17484871666,84309.65792501163
GUN,-13412.169921875,6238.67626953125,-1112.536376953125,61.094478607177734,208.20750427246094,491.8871154785156,-44.06290054321289,169.96849060058594,-297.8320617675781,-227.28038024902344,0.8433843404054642,105589.02762124482,89861.34149137314
GUN,-5286.9482421875,8204.654296875,-402.3236083984375,413.7041320800781,-137.9309844970703,224.07540893554688,-329.1606750488281,-223.1676025390625,-374.40228271484375,-40.472782135009766,0.1578899845480919,84453.5278397197,59061.21017559204
GUN,-9691.3134765625,7322.48388671875,-822.880615234375,1193.0889892578125,99.82594299316406,90.25765991210938,-694.4390869140625,71.0595932006836,-470.748779296875,-353.265869140625,0.26340849697589874,91603.51551823378,70181.7878126454
GUN,-14462.447265625,8449.1513671875,-1809.1854248046875,1412.441650390625,472.0298767089844,839.2223510742188,-509.95745849609375,-375.25421142578125,-521.7669067382812,-564.9566040039062,0.08493279106914997,71672.41177414788,56718.711256257826
GUN,-14748.888671875,6979.83154296875,-1953.4241943359375,1691.58935546875,441.8193664550781,1013.5598754882812,141.50473022460938,292.8382873535156,-482.2326354980469,-321.1138916015625,0.25314856320619583,83329.04647586758,69510.46374932467
GUN,-16133.16015625,7906.00048828125,-1683.972412109375,1704.9029541015625,647.5040893554688,1154.171630859375,27.078580856323242,191.54620361328125,-627.5440673828125,-256.8837585449219,0.07524566724896431,74953.25720047978,56388.14258933105
GUN,-16281.7060546875,8086.521484375,-2056.04443359375,1877.2218017578125,1284.8873291015625,1223.1795654296875,429.7002258300781,282.9751892089844,-238.2895965576172,-205.1736297607422,0.06345266941934824,68684.08027734116,51453.313523799414
GUN,-18619.67578125,8456.439453125,-1778.8033447265625,870.4835205078125,1604.94775390625,772.199462890625,153.48464965820312,-65.81576538085938,-221.43484497070312,-330.2294006347656,0.10280909948050976,69615.67749948888,52785.770515287186
GUN,-16894.861328125,9297.689453125,-2468.81884765625,730.86865234375,992.2994995117188,418.2887268066406,57.27452850341797,173.3020782470703,-141.18994140625,-45.23554611206055,0.05398017819970846,63628.94935342249,54102.78806514621
GUN,-15295.48828125,4300.01904296875,-676.7936401367188,-506.2699890136719,-352.11767578125,1543.2979736328125,16.180065155029297,542.1237182617188,-47.9066276550293,-56.468605041503906,3.008330464363098,132868.77469772828,133940.6779033367
